area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,latitude,longitude,distance,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Stare Miasto,district_Swoszowice,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
64.0,28890.63,3,4,3,1845.0,False,50.05126435,19.93971205391791,1.189917957801707,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
100.0,14500.0,1,3,4,1993.0,True,50.0820475,19.979335,3.746896165001346,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
141.13,10982.78,3,4,5,1993.0,True,50.0820475,19.979335,3.746896165001346,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
169.0,10355.03,3,4,5,2012.0,True,50.0820475,19.979335,3.746896165001346,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
63.8,17711.6,2,6,3,2023.0,True,50.0853227,19.8873956,4.415568186130728,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63.8,17711.6,6,2,3,2023.0,True,50.0853227,19.8873956,4.415568186130728,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42.0,13310.0,2,4,2,1964.0,False,50.0814309,20.0176277,6.131841188810198,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,19555.56,2,10,2,2018.0,False,50.0750648,19.9467425,1.616068321664732,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
50.0,13000.0,10,10,2,2008.0,False,50.0997677,19.9628389,4.592694516232151,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45.61,15019.0,0,4,2,2012.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
48.1,14449.0,3,3,2,2012.0,False,50.0997677,19.9628389,4.592694516232151,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
15.76,17131.98,5,5,1,2012.0,True,50.081332,19.9512313,2.3830385933542377,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
34.52,19150.0,0,6,2,2012.0,True,50.081332,19.9512313,2.3830385933542377,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48.1,14479.0,3,3,2,2012.0,False,50.081332,19.9512313,2.3830385933542377,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
41.0,19512.2,4,8,2,2018.0,False,50.081332,19.9512313,2.3830385933542377,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
