,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material,location,latitude,longitude
4869,https://www.otodom.pl/pl/oferta/salwator-2-pokojowe-mieszkanie-z-balkonem-i-mpec-ID4oKr4,Salwator - 2 pokojowe mieszkanie z balkonem i MPEC,"Kornela Ujejskiego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",850000.0,42.0,20238.0,3,4,2,1959.0,False,wtórny,pełna własność,do zamieszkania,370.0,miejskie,biuro nieruchomości,False,balkon,blok,cegła,"Kornela Ujejskiego, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-102, Polska",50.0568145,19.9246628
4870,https://www.otodom.pl/pl/oferta/mozliwosc-podzialu-na-2-kawalerki-ID4paTb,Możliwość podziału na 2 kawalerki,"Korony Polskiej, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",600000.0,49.0,12245.0,4,4,3,1973.0,False,wtórny,pełna własność,brak informacji,541.1313434298921,miejskie,biuro nieruchomości,False,None,brak informacji,wielka płyta,"Korony Polskiej, Mistrzejowice, Kraków, województwo małopolskie, 31-619, Polska",50.0971952,19.9931215
4871,https://www.otodom.pl/pl/oferta/2-pokoje-pod-klucz-zapraszam-ID4qaQP,2 pokoje - pod klucz - zapraszam,"Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, małopolskie",640000.0,43.49,14716.0,1,3,2,2022.0,True,wtórny,pełna własność,do zamieszkania,580.0,miejskie,biuro nieruchomości,True,balkon,blok,brak informacji,"Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-865, Polska",50.0058391,20.0158653
4872,https://www.otodom.pl/pl/oferta/mieszkanie-43-49-m-krakow-ID4piLy,"Mieszkanie, 43,49 m², Kraków","Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, małopolskie",650000.0,43.49,14946.0,1,3,2,2022.0,True,wtórny,pełna własność,brak informacji,580.0,brak informacji,biuro nieruchomości,True,balkon,apartamentowiec,brak informacji,"Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-865, Polska",50.0058391,20.0158653
4873,https://www.otodom.pl/pl/oferta/mieszkanie-43-50-m-krakow-ID4pBbT,"Mieszkanie, 43,50 m², Kraków","Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, małopolskie",669000.0,43.5,15379.0,1,3,2,2023.0,False,wtórny,pełna własność,do zamieszkania,580.0,miejskie,biuro nieruchomości,True,"balkon, taras",blok,brak informacji,"Kosocicka, Rżąka, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-865, Polska",50.0058391,20.0158653
4874,https://www.otodom.pl/pl/oferta/pieknie-urzadzone-studio-koszykarska-ID4pBWr,Pięknie urządzone studio | Koszykarska,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",349000.0,18.0,19389.0,0,1,1,1930.0,True,wtórny,udział,do zamieszkania,320.0,gazowe,biuro nieruchomości,False,None,brak informacji,brak informacji,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4875,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-na-plaszowie-ID4pCs3,Nowoczesna kawalerka na Płaszowie,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",485000.0,25.4,19094.0,2,4,1,2015.0,True,wtórny,pełna własność,do zamieszkania,267.0,miejskie,biuro nieruchomości,True,balkon,apartamentowiec,cegła,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4876,https://www.otodom.pl/pl/oferta/przytulna-garsoniera-z-balkonem-do-wejscia-ID4pOFx,Przytulna Garsoniera Z Balkonem! Do Wejścia!,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",485000.0,26.0,18654.0,2,4,1,2016.0,False,wtórny,pełna własność,do zamieszkania,260.0,brak informacji,biuro nieruchomości,True,balkon,blok,brak informacji,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4877,https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-2022-r-widok-na-zachod-ID4pMnO,2 pokoje| wysoki standard| 2022 r.|widok na zachód,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",699000.0,35.33,19785.0,4,8,2,2021.0,True,wtórny,pełna własność,do zamieszkania,570.0,miejskie,biuro nieruchomości,True,balkon,apartamentowiec,pustak,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4878,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-i-przyjemny-widok-na-ogrod-ID4qbBx,2 pokoje z balkonem i przyjemny widok na ogród !,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",720000.0,35.5,20282.0,1,8,2,2021.0,False,wtórny,pełna własność,do zamieszkania,480.0,miejskie,biuro nieruchomości,True,balkon,blok,inny,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4879,https://www.otodom.pl/pl/oferta/koszykarska-2-pokojowe-2-msc-postojowe-ID4pXgr,"Koszykarska, 2-pokojowe + 2 msc. postojowe","Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",749000.0,51.0,14686.0,0,9,2,2021.0,True,wtórny,pełna własność,do zamieszkania,740.0,miejskie,prywatny,True,None,blok,pustak,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4880,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-plaszow-ID4p2Wo,Komfortowe mieszkanie - Płaszów,"Koszykarska, Płaszów, Podgórze, Kraków, małopolskie",1300000.0,92.55,14046.0,4,5,4,2016.0,True,wtórny,pełna własność,do zamieszkania,880.0,miejskie,biuro nieruchomości,True,balkon,blok,pustak,"Koszykarska, Ogrody Płaszów, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-728, Polska",50.0523838,19.989574
4881,https://www.otodom.pl/pl/oferta/mieszkanie-40m2-w-centrum-krakowa-2gie-p-winda-ID4pT3H,"Mieszkanie 40m2 /w centrum Krakowa, 2gie p. winda","Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",650000.0,40.0,16250.0,2,6,2,1960.0,False,pierwotny,pełna własność,do zamieszkania,370.0,miejskie,prywatny,True,balkon,kamienica,cegła,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
4882,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-po-remoncie-na-grzegorzkach-ID4pzEI,2-pok. mieszkanie po remoncie na Grzegórzkach,"Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",749000.0,43.72,17132.0,1,3,2,1937.0,True,wtórny,pełna własność,do zamieszkania,750.0,miejskie,biuro nieruchomości,False,balkon,kamienica,cegła,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
4883,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-w-modernistycznej-kamienicy-ID4q9TN,Słoneczne mieszkanie w modernistycznej kamienicy,"Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",749000.0,44.0,17023.0,1,4,2,1936.0,True,wtórny,pełna własność,do zamieszkania,650.0,miejskie,biuro nieruchomości,False,balkon,kamienica,cegła,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
4884,https://www.otodom.pl/pl/oferta/mieszkanie-59-07-m-krakow-ID3TSLu,"Mieszkanie, 59,07 m², Kraków","Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",950000.0,59.07,16083.0,1,5,2,1956.0,False,wtórny,pełna własność,do zamieszkania,720.0,miejskie,biuro nieruchomości,False,balkon,blok,cegła,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
4885,https://www.otodom.pl/pl/oferta/mieszkanie-70-m-krakow-ID4o7dp,"Mieszkanie, 70 m², Kraków","Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",1395000.0,70.0,19929.0,2,4,2,1936.0,False,wtórny,pełna własność,do zamieszkania,450.0,gazowe,biuro nieruchomości,False,balkon,brak informacji,brak informacji,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
4886,https://www.otodom.pl/pl/oferta/propozycja-dla-ceniacych-zycie-w-centrum-i-wygode-ID4q3oq,Propozycja dla ceniących życie w centrum i wygodę,"Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie",1490000.0,72.0,20694.0,2,3,2,2013.0,True,wtórny,pełna własność,do zamieszkania,541.1313434298921,gazowe,biuro nieruchomości,False,balkon,kamienica,cegła,"Kotlarska, Grzegórzki, Kraków, województwo małopolskie, 31-540, Polska",50.0541382,19.9597688
