,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,parking space details,location,latitude,longitude,distance,district
6120,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/21864028.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1100000.0,27.5,40000.0,3,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6121,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24335068.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1150000.0,50.49,22776.79,0,3,1,1910.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6122,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/23836267.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1150000.0,50.5,22772.28,0,3,2,2021.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6123,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/21864032.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1207600.0,30.19,40000.0,2,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6124,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/21864034.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1208400.0,30.21,40000.0,1,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6125,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/21864026.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1399160.0,36.82,38000.0,3,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6126,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/21864033.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1481550.0,42.33,35000.0,1,4,1,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6127,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/21864027.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",1831600.0,45.79,40000.0,3,4,2,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6128,"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/21864029.html","Mieszkanie, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",3754733.0,52.87,71018.21,2,4,2,2020.0,True,pierwotny,pełna własność,garaż w bryle budynku,"Świętego Sebastiana, Stradom, Stare Miasto, Kraków, województwo małopolskie, 31-049, Polska",50.0555592,19.9423212,0.7861453297578064,Stare Miasto
6129,"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24713255.html","Mieszkanie, ul. Sempołowskiej","Sempołowskiej, Podgórze Duchackie, Kraków, małopolskie",868000.0,59.75,14527.2,0,3,3,1992.0,True,wtórny,pełna własność,garaż,"Stefanii Sempołowskiej, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-655, Polska",50.0193828,19.957427,4.936290899590352,Podgórze Duchackie
