address,manipulated address,location,latitude,longitude
"Cystersów, Grzegórzki, Grzegórzki, Kraków, małopolskie","Cystersów, Grzegórzki, Grzegórzki, Kraków, małopolskie","Cystersów, Grzegórzki, Kraków, województwo małopolskie, 31-545, Polska",50.0640144,19.9699439
"Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie","Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie","Władysława Łokietka, Budzyń, Tonie, Prądnik Biały, Kraków, województwo małopolskie, 31-337, Polska",50.1174064,19.8933515
"Wysłouchów 30a, Kurdwanów, Kraków, małopolskie","Wysłouchów 30a, Kurdwanów, Kraków, małopolskie","30A, Marii i Bolesława Wysłouchów, Osiedle ""Kurdwanów Nowy"", Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-611, Polska",50.0078586,19.9599098
"Chmieleniec, Podgórze, Kraków, małopolskie","Chmieleniec, Podgórze, Kraków, małopolskie","Chmieleniec, Osiedle Szuwarowa, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-382, Polska",50.0190472,19.9006675
"Bosacka, Wesoła Zachód, Stare Miasto, Kraków, małopolskie","Bosacka, Wesoła Zachód, Stare Miasto, Kraków, małopolskie","Bosacka, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-504, Polska",50.0665498,19.9494979
"Bujwida, Stare Miasto, Kraków, małopolskie","Bujwida, Stare Miasto, Kraków, małopolskie","Odona Bujwida, Wesoła II, Grzegórzki, Kraków, województwo małopolskie, 31-529, Polska",50.060879,19.9502566
"Chmieleniec, Ruczaj, Kraków, małopolskie","Chmieleniec, Ruczaj, Kraków, małopolskie","Chmieleniec, Osiedle Szuwarowa, Ruczaj, Dębniki, Kraków, województwo małopolskie, 30-348, Polska",50.0197521,19.897659
"Litewska, Krowodrza, Kraków, małopolskie","Litewska, Krowodrza, Kraków, małopolskie","Litewska, Nowy Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-019, Polska",50.0763999,19.9261022
"al.Kijowska, Łobzów, Krowodrza, Kraków, małopolskie","al.Kijowska, Łobzów, Krowodrza, Kraków, małopolskie","Aleja Kijowska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-081, Polska",50.0730961,19.9156382
"Przegorzały, Zwierzyniec, Kraków, małopolskie","Przegorzały, Zwierzyniec, Kraków, małopolskie","Przegorzały, Zwierzyniec, Kraków, województwo małopolskie, Polska",50.0509503,19.8740774
"Filtrowa, Bronowice, Bronowice, Kraków, małopolskie","Filtrowa, Bronowice, Bronowice, Kraków, małopolskie","Filtrowa, Osiedle Widok-Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-148, Polska",50.07769,19.8756941
"os. Piastów 63f, Mistrzejowice, Mistrzejowice, Kraków, małopolskie","os. Piastów 63f, Mistrzejowice, Mistrzejowice, Kraków, małopolskie","63F, Osiedle Piastów, Mistrzejowice, Kraków, województwo małopolskie, 31-625, Polska",50.10335495,20.015844028814183
"Jerzego Szablowskiego, Bronowice, Bronowice, Kraków, małopolskie","Jerzego Szablowskiego, Bronowice, Bronowice, Kraków, małopolskie","Jerzego Szablowskiego, Osiedle Widok-Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-127, Polska",50.0766632,19.8936989
"Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie","Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie","Bartosza Głowackiego, Bronowice, Kraków, województwo małopolskie, 30-084, Polska",50.0775737,19.9042255
"Pawia, Stare Miasto, Kraków, małopolskie","Pawia, Stare Miasto, Kraków, małopolskie","Pawia, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-154, Polska",50.0687318,19.9451594
"mjr. Ryszarda Nuszkiewicza, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","mjr. Ryszarda Nuszkiewicza, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","Majora Ryszarda Nuszkiewicza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-423, Polska",50.0900018,19.9633695
